"Date_periode";"Matrice_DPC_-_Domaine";"Matrice_DPC_-_Produits";"Matrice_DPC_-_Composants";"Etablissement";"Site";"Pole";"Service";"Territoire";"Direction";"Equipe";"Strategie_Domaine";"Strategie_Axe";"Strategie_sous-axe";"Libelle";"Code";"Indicateur_de_priorisation_d_Urgence/Strategie_annuelle";"Indicateur_de_priorisation_d_Urgence/Priorite_Projet";"Statut";"Chef_de_projet";"Typologie_d_activite";"Profil_de_Projet";"Etat_d_avancement/Meteo";"Etat_d_avancement/Commentaire_meteo";"Etat_d_avancement/Tendance";"Couts-Charges_Projet/Charge_DSN_estimee";"Couts-Charges_Projet/Duree_Estimee_du_projet__en_mois_";"Date_de_debut";"Date_de_fin";"Couts-Charges_Projet/Cout_initial_estime_du_projet__en_k__";"Indicateurs_de_priorisation_des_demandes/Indicateur_de_priorisation_-_Complexite_et_freins__CALCUL_";"Indicateurs_de_priorisation_des_demandes/Indicateur_de_priorisation_-_Opportunite_et_criticite__CALCUL_";"Indicateurs_de_priorisation_des_demandes/Charge_global_estimee__CALCUL_";"Portee_Projet___GHT_ou_Locale__";"Libelle";"Date_de_mise_a_jour";"Date_de_cloture_du_projet";"Libelle_long";"Description";"Date_de_creation"
"01/03/2026";"Socle Technique [SNST]";"Systèmes de Supervision et Consoles";"";"_GHT";"";"";"";"";"Direction DSN";"TECHNOLOGIES NUMERIQUES";"Stratégie Socle Technique [SNST]​";"Axe 3: SNST-Supervision";"Supervision Infrastructure";"Administration centralisée Réseau GHT";"21-011";"Non";"Priorité 3";"PRJ Abandonné";"";"BUILD";"Technique";"Soleil";"";"Stabilisation";"50.0";"";"01/01/2022";"31/12/2022";"50.0";"5.0";"40.0";"111.0";"GHT";"Administration centralisée Réseau GHT";"01/09/2025";"01/08/2025";"";"Pour les admins, console unique pour visualisation du réseaux, switchs ...";"09/10/2020"
"01/03/2026";"Métiers du Soin [SNMS]";"Soins Cliniques";"Autre disciplines médicales";"CHU Orléans";"";"";"";"";"";"";"";"";"";"ADSP : Dossier Easily à domicile du patient";"23-166";"Non";"Priorité 4";"DDE Refusée";"";"BUILD";"Applicatif";"";"";"";"0.0";"0.0";"01/01/2023";"31/12/2023";"0.0";"0.0";"10.0";"0.0";"GHT";"ADSP : Dossier Easily à domicile du patient";"01/09/2025";"01/08/2025";"ADSP : Dossier Easily à domicile du patient";"Bonjour,   L'équipe d'appui départementale de soins palliatifs intervient dans les établissements en dehors du CHU et à domicile ,   Serait-il possible que les professionnels puissent ouvrir un dossier patient dans Easily , même si le patient n'est pas connu (c'est à dire n'a pas "encore " été hospitalisé au CHU)?    Actuellement, pour ce genre de situation il faut faire un dossier papier.      Cordialement ,          Odile INDIENNA   Cadre de santé du CADSP   (CETD, USP-UTD , EMSPA , EADSP45)   02 38 61 33 73 ( ou poste 13 373 )    odile.indienna@chu-orleans.fr       Pôle Médecines à Fortes Consultations      Centre Hospitalier Universitaire d’Orléans";"11/12/2023"
"01/03/2026";"Fonctions Support [SNFS]";"Logistique et Services Techniques : (WMS, GTC, Appel malade, …)";"";"CH Sully sur Loire";"";"";"";"";"Direction DSN";"CONVERGENCE GHT";"";"";"";"ADVEES Système Anti-Fugue SULLY";"22-226";"Non";"Priorité 1";"PRJ Terminé";"Franck LAVOREL";"BUILD";"Technique";"Soleil";"";"";"0.0";"";"01/01/2023";"16/10/2024";"0.0";"2.0";"20.0";"0.0";"LOCAL";"ADVEES Système Anti-Fugue SULLY";"01/03/2025";"01/02/2025";"Système Anti-Fugue SULLY";"Système Anti-Fugue SULLY Serveur Virtualisé - paramétrage réseau Pilotage F Lavorel  intégration de la couche antifugue dans le tamat avec Exatel en prestataire";"19/10/2022"
"01/03/2026";"";"";"";"CHU Orléans";"";"";"";"";"";"";"";"";"";"Affichage dynamique multi-écrans Blocs, Urgences";"20-118";"Non";"Priorité 4";"DDE Refusée";"Frédéric RAFFESTIN";"BUILD";"Technique";"";"";"";"5.0";"";"07/12/2020";"14/12/2020";"5.0";"4.0";"26.0";"12.0";"LOCAL";"Affichage dynamique multi-écrans Blocs, Urgences";"01/10/2024";"01/11/2022";"";"";"07/12/2020"
"01/03/2026";"Métiers du Soin [SNMS]";"Soins Cliniques";"";"CH Pithiviers";"";"";"";"";"";"";"";"";"";"Affichage grand écran Cartographie Urgences PITHIVIERS";"24-030";"Non";"Priorité 4";"DDE Refusée";"";"BUILD";"Applicatif";"";"";"";"0.0";"0.0";"01/01/2024";"31/12/2024";"0.0";"0.0";"10.0";"0.0";"LOCAL";"Affichage grand écran Cartographie Urgences PITHIVIERS";"01/01/2025";"01/12/2024";"";"";"08/02/2024"
"01/03/2026";"Socle Technique [SNST]";"Réglementaire et Certifications (RGPD, HIMSS, …)";"";"CH Montargis";"";"";"";"";"";"";"";"";"";"AGEVAL - logiciel de support Eval Ext & CPOM CHAM";"22-238";"Non";"Priorité 4";"PRJ Abandonné";"Rodrigo CAVALCANTI";"BUILD";"Applicatif";"Soleil";"";"";"5.0";"0.0";"01/01/2023";"31/12/2023";"3.0";"0.0";"30.0";"22.0";"LOCAL";"AGEVAL - logiciel de support Eval Ext & CPOM CHAM";"01/01/2024";"01/12/2023";"AGEVAL - logiciel de support Eval Ext & CPOM CHAM";"logicieL pour  2023. •	Traduction opérationnelle en outils exploitable pour mener à bien l’évaluation externe EHPAD  o	Evaluation externe : réforme récente qui nous oblige à développer une compétence collective nouvelle car aucun historique pour nous appuyer dans une démarche fluide , Le besoin connexe : o	Le logiciel AGEVAL comporte aussi un cadrage de suivi des Fiches Actions CPOM o	La pluralité d’indicateurs déjà implémentés dans le logiciel qui nous servirons nécessairement , o	Un suivi des plans d’actions Eval Ext & CPOM directement descendant des travaux précédemment décrit ici même ,  Prospective : louer le logiciel sur l’année 2023 uniquement, car le besoin absolu est celui d’une méthodologie projet Eval Externe fluidifiée, compte tenu de l’absolu nécessité d’être « certifiés » •	Location à environ 250 € / mois •	X 12 mois = 3000 € 2023 budget informatique";"04/11/2022"
"01/03/2026";"";"";"";"CHU Orléans";"";"";"";"";"";"";"";"";"";"AGIRH - Interface E-Planning Affectation";"22-008";"Non";"Priorité 4";"PRJ Abandonné";"";"BUILD";"Applicatif";"";"";"";"2.0";"";"01/01/2022";"31/12/2022";"0.0";"2.0";"20.0";"3.0";"LOCAL";"AGIRH - Interface E-Planning Affectation";"13/01/2023";"01/12/2022";"Interface planning - rattacher une UF à un planning";"Interface planning - rattacher une UF à un planning - créer une table de correspondance - Actualiser le nom des planning et évaluer la pertinence pour les planning de moins de 3 agents Date besoin	Priorité	Stade avancement  25/02/2021	1	En cours";"03/01/2022"
"01/03/2026";"";"";"";"_GHT";"";"";"";"";"";"";"";"";"";"AGIRH GHT";"21-130";"Non";"Priorité 4";"PRJ Terminé";"Jonathan BEHR";"BUILD";"";"";"";"";"0.0";"36.0";"01/01/2021";"28/02/2022";"0.0";"0.0";"10.0";"0.0";"";"AGIRH GHT";"14/06/2023";"01/09/2022";"";"";"16/07/2021"
"01/03/2026";"Métiers du Soin [SNMS]";"Services Numériques aux Patients";"";"CH Montargis";"";"";"";"";"";"";"";"";"";"AIR : Système d'archivage electronique réglementaire CHAM";"25-043";"Non";"Priorité 4";"PRJ En cours";"Annick CALINON";"BUILD";"";"";"";"";"0.0";"0.0";"01/01/2025";"31/12/2025";"0.0";"0.0";"10.0";"0.0";"LOCAL";"AIR : Système d'archivage electronique réglementaire CHAM";"07/05/2025";"";"AIR : Système d'archivage electronique réglementaire (suppression archives physiques grace) realisation de hub biomedical";"";"14/02/2025"
"01/03/2026";"";"";"";"_GHT";"";"";"";"";"";"";"";"";"";"Ajout INS dans étiquette d'admission";"21-164";"Non";"Priorité 4";"DDE Refusée";"";"RUN";"Applicatif";"";"";"";"5.0";"";"01/01/2022";"31/12/2022";"2.0";"6.0";"23.0";"9.0";"LOCAL";"Ajout INS dans étiquette d'admission";"13/01/2023";"01/12/2022";"Ajout INS dans étiquette d'admission (EASILY, PASTEL)";"Demande d'évolution de l'étiquette d'admission (EASILY ?, PASTEL ?) afin d'y ajouter le matricule INS et en retirant toute autre information d’état civil que le nom de naissance.";"10/11/2021"
"01/03/2026";"Métiers du Soin [SNMS]";"Portail Ville-Hôpital";"";"_GHT";"";"";"";"";"";"";"";"";"";"ALERTES LABOS dans parapheur EASILY v8.1";"21-155";"Non";"Priorité 1";"PRJ En cours";"Jocelyn CADON";"BUILD";"Applicatif";"Soleil";"";"Amélioration";"5.0";"0.0";"01/01/2021";"26/02/2026";"10.0";"5.0";"35.0";"17.0";"LOCAL";"ALERTES LABOS dans parapheur EASILY v8.1";"04/03/2026";"";"ex LIFEN DEPLOIEMENT BIOPATHO - Mise en place d’un système d’alerte pour les résultats de laboratoire à destination des prescripteurs via Easily v8.1";"Lifen.  A-t-on la possibilité de prévoir le déploiement sur le pôle Biopath ?  Je sais que Sandrine avait mis son véto car le ROI n’était pas au RDV mais sur le pôle biopath et l’anapath très consommateur d’envois patient, ce serait pertinent.   Surtout que j’ai appris que l’anapath est en panne de leur adresse mail sécurisée pour l’envoi des CR…. Si tu as besoin de plus d’informations de ce côté-là, je laisse Aurélie répondre…   Merci pour ton retour !   J’ai la même demande sur Pithiviers également…   Marianne";"08/10/2021"
"01/03/2026";"Fonctions Support [SNFS]";"Qualité";"";"CHU Orléans";"";"";"";"";"";"";"";"";"";"Ambition DSN : Amélioration de la communication de la DSN";"25-152";"Non";"Priorité 4";"DDE En attente";"";"BUILD";"Applicatif";"";"";"";"20.0";"12.0";"08/12/2025";"31/12/2026";"0.0";"5.0";"45.0";"20.0";"GHT";"Ambition DSN : Amélioration de la communication de la DSN";"17/12/2025";"";"Ambition DSN : Optimisation de la communication interne et externe";"Le projet vise à améliorer la communication de la Direction des Services Numériques (DSN) sur l’ensemble de ses domaines : communication interne au sein de la DSN, communication externe vers les métiers, ainsi que sur les projets, les évolutions et l’activité globale de la DSN. L’objectif est de renforcer la transparence, la lisibilité et la valorisation des actions menées par la DSN.";"08/12/2025"
"01/03/2026";"Métiers du Soin [SNMS]";"Soins Cliniques";"Cancérologie et Médecine interventionnelle";"CHU Orléans";"";"";"";"";"";"";"";"";"";"Anamnèse & CSO Orléans";"24-062";"Non";"Priorité 4";"PRJ Abandonné";"";"BUILD";"Applicatif";"";"";"";"5.0";"2.0";"01/01/2024";"31/12/2024";"6.0";"0.0";"10.0";"17.0";"";"Anamnèse & CSO Orléans";"01/09/2025";"01/08/2025";"logiciel "Anamnèse" (logiciel qui digitalise les parcours de soins)";"Le responsable commercial du logiciel "Anamnèse" (logiciel qui digitalise les parcours de soins) m'a présenté par téléphone ce produit puis a échangé avec le Dr Abou Mrad, en copie de ce mail. Anamnèse a envisagé d'adapter ce logiciel au suivi pré- et post-chirurgie bariatrique.     Vous trouverez ci-joint le powerpoint de présentation.  Et ci-dessous le mail de Mr Beaupère, responsable commercial, qui propose de vous rencontrer.     Est-ce une solution numérique envisageable pour le CHU d'Orléans ?     Merci pour votre éclairage,  Très cordialement,     Florence MENESGUEN  Coordinatrice Centre Spécialisé de l'Obésité (CSO) d'Orléans  Centre Hospitalier Universitaire (CHU) d'Orléans  Email : florence.menesguen@chu-orleans.fr  Email sécurisé : service.cso@chu-orleans.mssante.fr  Tel : 06 76 81 93 90 (de préférence) ou 02 38 61 32 41  https://www.obecentre.fr/";"14/05/2024"
"01/03/2026";"Métiers du Soin [SNMS]";"Médicotechnique";"";"CHU Orléans";"";"";"";"";"Direction DSN";"PROJETS";"";"";"";"ANATECH (ALMA) au CADSP";"23-041";"Non";"Priorité 4";"PRJ Abandonné";"Laetitia GERAUD";"BUILD";"Applicatif";"Soleil";"";"";"20.0";"6.0";"28/12/2022";"02/01/2025";"51.0";"6.0";"20.0";"108.0";"LOCAL";"ANATECH (ALMA) au CADSP";"01/02/2025";"01/01/2025";"Logiciel permettant la traçabilité des prescriptions intrathécales";"Logiciel permettant la traçabilité des prescriptions intrathécales. Logiciel : Anathec Architecture : client/serveur Type de client : client web Utilisateurs concernés : Médecins et pharmaciens";"07/03/2023"
"01/03/2026";"";"";"";"_GHT";"";"";"";"";"";"";"";"";"";"ANTENNES VHF SAMU";"20-113";"";"Priorité 4";"PRJ Abandonné";"";"BUILD";"Technique";"";"";"";"";"";"07/12/2020";"08/12/2020";"";"";"";"";"LOCAL";"ANTENNES VHF SAMU";"01/10/2024";"01/12/2020";"Reconfiguration des antennes SAMU";"Reconfiguration des antennes SAMU Déménagement LOCAL samu 7ème VHO vers 5ème étage PK2 Plus orienté DTM";"07/12/2020"
"01/03/2026";"Métiers du Soin [SNMS]";"Soins Cliniques";"";"_GHT";"";"";"";"";"";"";"";"";"";"Archivage-retrait application métiers du soin GHT";"23-040";"Non";"Priorité 4";"PRJ Abandonné";"";"BUILD";"Applicatif";"Soleil";"";"";"0.0";"0.0";"06/03/2023";"31/12/2024";"0.0";"0.0";"10.0";"0.0";"GHT";"Archivage-retrait application métiers du soin GHT";"01/09/2025";"01/08/2025";"";"le projet est avant tout, une intégration des données dans le concentrateur de données cliniques. Chaque application sera traitée de façon unitaire. D’une manière générale, l’archivage d’une application sera bâtie sur le modèle suivant : •	IPP Patient o	IEP Séjour 	dossier_patient.PDF 	CR_labo.PDF 	CR_Imagerie.PDF 	CR_Consultation.PDF 	……  Le « dossier_patient.PDF » contiendra le détail des notes cliniques et prescriptions. Il correspondra à ce que l’établissement donne lors d’une saisine de justice accompagné de l’ensemble des comptes rendus produits lors d’un séjour. Ce point est en cours de validation par le service juridique. Cordialement F. ANDRE ci-joint les applications qui sont ou qui vont passer en archive . L’intégration de ces données dans le concentrateur permettrait d’assainir notre parc de vieux logiciels , hors contrat et difficilement maintenables .";"06/03/2023"
"01/03/2026";"";"";"";"_GHT";"";"";"";"";"";"";"";"";"";"Armoire sécurisé des blocs";"20-073";"Non";"Priorité 4";"PRJ Terminé";"";"BUILD";"Technique";"";"";"Stabilisation";"0.0";"";"01/01/2020";"31/12/2020";"0.0";"";"";"";"LOCAL";"Armoire sécurisé des blocs";"01/10/2024";"01/09/2021";"";"Armoires sécurisées des blocs dans un premier temps implanter des armoires dédiées à la gestion des stupéfiants aux blocs opératoires et en salle de naissance.";"14/09/2020"
"01/03/2026";"Fonctions Support [SNFS]";"Logistique et Services Techniques : (WMS, GTC, Appel malade, …)";"";"CH Montargis";"";"";"";"";"Direction DSN";"TECHNOLOGIES NUMERIQUES";"Stratégie Socle Technique [SNST]​";"Axe 5: Réseaux Convergés";"";"Arrêt des lignes transfax 2024 CHAM";"22-168";"Non";"Priorité 4";"PRJ En cours";"Sebastien MARQUET";"BUILD";"Travaux";"Pluie";"Le Loiret n'est pas impacté en 2023, coupure en 2025";"Stabilisation";"0.0";"0.0";"01/01/2022";"31/12/2026";"0.0";"0.0";"11.0";"0.0";"LOCAL";"Arrêt des lignes transfax 2024 CHAM";"24/03/2025";"";"";"Arrêt des lignes transfax 2024 François Dubouilh";"14/09/2022"
"01/03/2026";"Métiers du Soin [SNMS]";"Médicotechnique";"Pharmacie";"CH Beaugency";"";"";"";"";"Direction DSN";"PROJETS";"Opérationnel";"Maintien en Condition Opérationnelle (MCO)";"";"ARRET MEDICAGEST 2024 Beaugency";"23-157";"Non";"Priorité 1";"DDE En attente";"";"BUILD";"Applicatif";"Orage";"";"";"20.0";"6.0";"01/12/2023";"30/06/2024";"0.0";"3.0";"25.0";"40.0";"LOCAL";"ARRET MEDICAGEST 2024 Beaugency";"16/09/2024";"";"";"Le logiciel de gestion de stock de médicaments Medicagest utilisé actuellement par 3 établissements du GHT (Beaugency, Meung, Dry) ne sera plus pris en charge à partir de 2024 par les fournisseurs (GPIFRANCE et EVOLUCARE), qui proposent une nouvelle solution plus performante. Une réunion avec Evolucare est prévue le 19 décembre pour discuter des modalités de la migration vers la nouvelle solution. Le reste du GHT utilise deux solutions différentes de gestion de stock de médicaments : Pharma pour le CHU d'Orléans, le CH de Gien, le site Jeanne d'Arc, et Newac pour le CH Pithiviers, Neuville aux bois, l'EPSM de Fleury et le CHAM. Il est peut-être opportun de réfléchir à harmoniser la solution de gestion de stock de médicaments au sein du GHT, en choisissant soit la nouvelle solution proposée par Evolucare, soit l'une des deux solutions existantes (Pharma ou Newac).";"01/12/2023"
